Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
The Secret of Life on Earth (Short 1993) - IMDb,Adrian Warren,7.2,Documentary,N/A,1993,107,42m
The Secret of Roan Inish (1994) - IMDb,John Sayles,7.4,Fairy Tale,Jeni Courtney,1994,10K,1h 43m
The Pamela Principle 2 (1994) - IMDb,Edward Holzman,4.2,Steamy Romance,India Allen,1994,261,1h 37m
Seduced by Evil (TV Movie 1994) - IMDb,Tony Wharmby,3.3,Fantasy,Suzanne Somers,1994,176,PG-13
Seers & Clowns (Short 1994) - IMDb,Faith Hubley,5.9,Animation,N/A,1994,11,9m
Seilama (1993) - IMDb,H.D. Premaratne,6.7,Drama,Dilani Abeywardena,1993,27,1h 45m
Sekret vinodeliya (1994) - IMDb,Andrey Chernykh,6.8,Drama,Valery Dolinin,1994,22,1h
Self Catering (TV Movie 1994) - IMDb,Robin Lefevre,6.9,Drama,Jane Horrocks,1994,71,1h 32m
Sembilu (1994) - IMDb,Yusof Haslam,6.2,Action,Awie,1994,81,1h 49m
Semmelweis (TV Movie 1994) - IMDb,Floor Maas,6.5,Drama,N/A,1994,15,1994
Senhora Aparecida (1994) - IMDb,Catarina Alves Costa,7.2,Documentary,N/A,1994,11,55m
Sensation (1994) - IMDb,Brian Grant,5.1,Erotic Thriller,Eric Roberts,1994,801,1h 42m
Sentema (Short 1994) - IMDb,Jean Christopher Burger,N/A,Short,N/A,1994,N/A,10m
Senza pelle (1994) - IMDb,Alessandro D'Alatri,6.6,Drama,Anna Galiena,1994,334,1h 30m
Separate Lives (1995) - IMDb,David Madden,5.0,Drama,Jim Belushi,1995,1.1K,1h 42m
Separated by Murder (TV Movie 1994) - IMDb,Donald Wrye,5.8,True Crime,Jeff Andrus,1994,87,1h 35m
Serial Mom (1994) - IMDb,John Waters,6.8,Dark Comedy,Kathleen Turner,1994,36K,1h 35m
Hammer and Sickle (1994) - IMDb,Sergey Livnev,6.5,Drama,Aleksey Serebryakov,1994,136,1h 33m
La serva amorosa (1996) - IMDb,Jean Douchet,6.7,Comedy,Alain Pralon,1996,16,2h 46m
Seven Days to Kill (1994) - IMDb,Adam Lima,7.2,Action,Gary Appel,1994,11,N/A
Seven Sundays (1994) - IMDb,Jean-Charles Tacchella,5.7,Comedy,Thierry Lhermitte,1994,110,1h 30m
The Seventh Floor (TV Movie 1994) - IMDb,Ian Barry,4.7,Action,Tony Morphett,1994,293,R
Sex (Video 1994) - IMDb,Michael Ninn,5.6,Adult,Simon Delo,1994,149,X
"Sex, Drugs & Democracy (1994) - IMDb",Jonathan Blank,7.0,Documentary,"July 8, 1994 (United States)",1994,139,1h 27m
Sexo oral (1994) - IMDb,Chus Gutiérrez,5.9,Documentary,Ángel Baltasar,1994,72,1h 54m
Sexual Intent (Video 1993) - IMDb,Kurt MacCarley,4.1,Drama,Marco Derhy,1993,89,R
The Other Man (1994) - IMDb,Jag Mundhra,3.9,Erotic Thriller,Diana Barton,1994,395,1h 36m
Sexual Outlaws (1994) - IMDb,Edwin Brown,4.3,Thriller,Mitchell Gaylord,1994,184,1h 27m
Sh'Chur (1994) - IMDb,Shmuel Hasfari,6.8,Drama,Gila Almagor,1994,161,1h 40m
Shabbot Shalom (TV Movie 1994) - IMDb,Michel Brault,6.6,Comedy,Lorne Brass,1994,15,1h 23m
Shadow of Obsession (TV Movie 1994) - IMDb,Kevin Connor,6.4,Thriller,Veronica Hamel,1994,95,1h 36m
The Shadow (1994) - IMDb,Russell Mulcahy,6.0,Superhero,Alec Baldwin,1994,28K,1h 48m
The Dollhouse Murders (TV Movie 1992) - IMDb,Dianne Haak-Edson,6.0,Horror,Amanda Rowse,1992,217,PG
Shadows of Desire (TV Movie 1994) - IMDb,Sam Pillsbury,5.5,Erotic Thriller,Nicollette Sheridan,1994,249,1h 36m
The Shaggy Dog (TV Movie 1994) - IMDb,Dennis Dugan,5.1,Comedy,Felix Salten,1994,412,1h 36m
"Shake, Rattle and Rock! (TV Movie 1994) - IMDb",Allan Arkush,5.2,Drama,Renée Zellweger,1994,588,PG-13
Shakedown: Return of the Sontarans (Video 1994) - IMDb,Kevin Davies,6.2,Sci-Fi,Jan Chappell,1994,133,55m
Shallow Grave (1994) - IMDb,Danny Boyle,7.2,Dark Comedy,Kerry Fox,1994,68K,1h 29m
Shamara (1994) - IMDb,Natalya Andreychenko,7.9,Romance,Irina Tsymbal,1994,15,1h 45m
Mad Dogs and Englishmen (1995) - IMDb,Henry Cole,3.9,Crime,Elizabeth Hurley,1995,692,1h 37m
Shao Lin huo bao bei (1994) - IMDb,Stephan Yip,5.2,N/A,Anabelle Lee,1994,16,1h 35m
Shaolin Kung Fu (1994) - IMDb,Wing-Chan Leung,7.1,Action,Jet Li,1994,90,1h 28m
The Amorous Lotus Pan (1994) - IMDb,Han Hsiang Li,5.9,Drama,Pal Sinn,1994,79,1h 29m
Share the Moon (1996) - IMDb,Gregory C. Haynes,N/A,Drama,Michele Michaels,1996,N/A,N/A
"""Sharpe"" Sharpe's Company (TV Episode 1994) - IMDb",Tom Clegg,7.8,Action,Sean Bean,TV-14,2.9K,1h 40m
"""Sharpe"" Sharpe's Enemy (TV Episode 1994) - IMDb",Tom Clegg,7.8,Action,Sean Bean,TV-14,2.9K,1h 30m
"""Sharpe"" Sharpe's Honour (TV Episode 1994) - IMDb",Tom Clegg,7.6,Action,Sean Bean,TV-14,2.5K,1h 41m
Shatter Dead (1994) - IMDb,Scooter McCrae,4.2,Horror,Stark Raven,1994,774,1h 24m
Shattered Image (TV Movie 1994) - IMDb,Fritz Kiersch,4.8,Drama,Jack Scalia,1994,148,R
The Shawshank Redemption (1994) - IMDb,Frank Darabont,9.3,Epic,Tim Robbins,1994,3M,2h 22m
She Led Two Lives (TV Movie 1994) - IMDb,Bill Corcoran,5.1,Drama,Connie Sellecca,1994,177,1h 28m
She Lives to Ride (1995) - IMDb,Alice Stone,N/A,Documentary,N/A,1995,N/A,1h 16m
Lone Star Blues (1994) - IMDb,Gregory Scanlan,N/A,Drama,Sheila Ryan,1994,N/A,N/A
Always Be the Winners (1994) - IMDb,Jacky Yee Wah Pang,4.6,Comedy,Tony Leung Chiu-wai,1994,89,1h 37m
Oh! Yes Sir!!! (1994) - IMDb,Frankie Chan,5.9,Action,Frankie Chan,1994,27,N/A
San taam Moh Luk (1994) - IMDb,Chi-Sing Cheung,5.8,Romance,Ching Wan Lau,1994,26,1h 36m
Sherlock: Undercover Dog (1994) - IMDb,Richard Harding Gardner,2.7,Adventure,Benjamin Eroen,1994,540,1h 18m
Sherwood's Travels (1994) - IMDb,Steve Miner,6.4,Drama,Jamey Sheridan,1994,47,1h 38m
47 Ronin (1994) - IMDb,Kon Ichikawa,6.4,Samurai,Ken Takakura,1994,570,2h 12m
The Song of the Siren (1994) - IMDb,Eytan Fox,5.9,Comedy,Irit Linur,1994,125,1h 30m
Shoot to Kill (Video 1993) - IMDb,Kam Tin Wong,5.9,Action,Danny Lee,1993,12,1h 21m
Shopping (1994) - IMDb,Paul W.S. Anderson,5.4,Dark Comedy,Sadie Frost,1994,3.1K,1h 27m
Showdown (1993) - IMDb,Robert Radler,5.2,Action,Billy Blanks,1993,1.3K,1h 38m
Shrunken Heads (1994) - IMDb,Richard Elfman,5.1,Dark Comedy,Julius Harris,1994,1.7K,1h 26m
Emperor of Evil (1994) - IMDb,Banmei Takahashi,N/A,N/A,N/A,1994,N/A,N/A
Si belles (TV Movie 1994) - IMDb,Jean-Pierre Gariépy,N/A,N/A,Marie-Josée Picard,1994,N/A,1994
The Jail of No Return (1994) - IMDb,Hugo Ng,4.9,Drama,Chi-Yeung Wong,1994,21,1h 36m
Men Behind the Sun 3: A Narrow Escape (1994) - IMDb,Godfrey Ho,3.5,Drama,N/A,1994,332,1h 33m
Midnight Dancers (1994) - IMDb,Mel Chionglo,5.5,Crime,Ricky Lee,1994,314,1h 40m
Sicario (1994) - IMDb,Joseph Novoa,6.2,Drama,Laureano Olivarez,1994,499,1h 47m
Siebzehn und vier (1994) - IMDb,Ulrike Schweiger,N/A,N/A,N/A,1994,N/A,N/A
The Invincibles (1994) - IMDb,Dominik Graf,6.4,Erotic Thriller,Günter Schütter,1994,801,2h 10m
Signal (Short 1994) - IMDb,Su Rynard,N/A,Short,"April 26, 2005 (Hungary)",1994,N/A,3m
Bullet Down Under (1994) - IMDb,Rob Stewart,4.8,Action,Christopher Atkins,1994,111,1h 35m
El silencio de Neto (1994) - IMDb,Luis Argueta,6.6,Drama,Oscar Almengor,1994,169,1h 46m
Silent Fall (1994) - IMDb,Bruce Beresford,5.9,Psychological Thriller,Richard Dreyfuss,1994,5K,1h 41m
Silent Witness (1994) - IMDb,Harriet Wichin,N/A,Documentary,N/A,1994,N/A,1h 14m
Silent Witness: What a Child Saw (1993) - IMDb,Bruce Pittman,5.6,Crime,Mia Korf,1993,106,1h 20m
The Silence of the Hams (1994) - IMDb,Ezio Greggio,4.6,Dark Comedy,Ezio Greggio,1994,6.1K,1h 21m
Silk Degrees (1994) - IMDb,Armand Garabidian,3.9,Erotic Thriller,Marc Singer,1994,193,1h 21m
Silk n' Sabotage (1994) - IMDb,Joe Cauley,4.4,Comedy,Julia Kruis,1994,54,1h 13m
Simon & Simon: In Trouble Again (TV Movie 1995) - IMDb,John McPherson,6.7,Drama,Rob Hedden,1995,152,1h 36m
A Simple Twist of Fate (1994) - IMDb,Gillies MacKinnon,6.3,Comedy,Steve Martin,1994,6.2K,1h 46m
Sin & Redemption (TV Movie 1994) - IMDb,Neema Barnette,5.9,Drama,Richard Grieco,1994,282,PG-13
Without Compassion (1994) - IMDb,Francisco J. Lombardi,7.1,Crime,Diego Bertie,1994,145,2h
Sin palabras... Jujuy (Short 1994) - IMDb,Miguel Pereira,N/A,Short,1994 (Argentina),1994,N/A,30m
Sin remitente (1995) - IMDb,Carlos Carrera,7.1,Drama,Carlos Carrera,1995,172,1h 37m
"""Screen Two"" Skallagrigg (TV Episode 1994) - IMDb",Richard Spence,8.3,Drama,Bernard Hill,TV-14,73,1h 27m
Skin Deep (1995) - IMDb,Midi Onodera,4.8,N/A,Dana Brooks,1995,47,1h 28m
Skins (1994) - IMDb,Wings Hauser,3.3,Crime,Wings Hauser,1994,209,1h 26m
Sky Palace (1994) - IMDb,Þorsteinn Jónsson,6.9,Drama,Kári Gunnarsson,1994,121,1h 23m
Skären som var världen (1994) - IMDb,Runar Enberg,3.8,Documentary,"March 10, 1994 (Sweden)",1994,6,1h
Schlesien - Slask (1994) - IMDb,Viola Stephan,N/A,Documentary,Südwestfunk (SWF),1994,N/A,1h 20m
Slaughter of the Innocents (1993) - IMDb,James Glickenhaus,5.1,Crime,Jan Broberg,1993,1.2K,1h 44m
Somnul insulei (1994) - IMDb,Mircea Veroiu,7.7,Drama,Bujor Nedelcovici,1994,59,1h 42m
Sleep with Me (1994) - IMDb,Rory Kelly,5.7,Comedy,Duane Dell'Amico,1994,2.9K,1h 26m
Sleeping with Strangers (1994) - IMDb,William T. Bolson,6.0,Comedy,Adrienne Shelly,1994,108,R
Probable Cause (TV Movie 1994) - IMDb,Paul Ziller,5.2,Action,Kate Vernon,1994,274,R
Smierc jak kromka chleba (1994) - IMDb,Kazimierz Kutz,7.0,Drama,Janusz Gajos,1994,261,1h 56m
Foxy Lady (1992) - IMDb,Sergio Martino,4.4,Thriller,Sergio Martino,1992,675,1h 22m
Smoking (Short 1994) - IMDb,Matthew Modine,7.4,Short,N/A,1994,30,13m
Snocken (TV Movie 1994) - IMDb,Sweden,N/A,N/A,N/A,1994,N/A,1994
Snowbound: The Jim and Jennifer Stolpa Story (TV Movie 1994) - IMDb,Christian Duguay,6.5,Drama,Neil Patrick Harris,1994,785,Not Rated
Sodbusters (TV Movie 1994) - IMDb,Eugene Levy,5.8,Comedy,Kris Kristofferson,1994,169,PG-13
Soft Deceit (1994) - IMDb,Jorge Montesi,4.8,Conspiracy Thriller,Patrick Bergin,1994,162,1h 35m
The Soft Kill (1994) - IMDb,Eli Cohen,4.6,Mystery,Yitzhak Ginsberg,1994,308,1h 34m
Sogno d'amore (1994) - IMDb,Fabrizio De Angelis,5.3,N/A,Gian Paolo Brugnoli,1994,8,N/A
The Butterfly's Dream (1994) - IMDb,Marco Bellocchio,5.9,Drama,Thierry Blanc,1994,121,1h 51m
Soldaten Soldaten (Short 1994) - IMDb,Elfi Mikesch,N/A,Short,N/A,1994,N/A,14m
Solina (Short 1994) - IMDb,Jacco Groen,5.8,Short,Lien Bierling,1994,16,16m
Solitaire for 2 (1994) - IMDb,Gary Sinyor,5.1,Comedy,Mark Frankel,1994,299,1h 46m
Solo amor (Short 1995) - IMDb,José Javier Rodríguez Melcon,6.1,Drama,Isabel Ordaz,1995,9,19m
"Solo, de wet van de favela (1994) - IMDb",Jos de Putter,7.1,Documentary,N/A,1994,18,54m
A Shadow You Soon Will Be (1994) - IMDb,Héctor Olivera,6.0,Drama,Héctor Olivera,1994,121,1h 45m
Somebody to Love (1994) - IMDb,Alexandre Rockwell,5.5,Comedy,Rosie Perez,1994,816,1h 42m
Someone Else's Child (TV Movie 1994) - IMDb,John Power,6.3,Drama,Lisa Hartman,1994,213,2h
Someone She Knows (TV Movie 1994) - IMDb,Eric Laneuville,5.9,Drama,Markie Post,1994,313,1h 35m
Sommarmord (1994) - IMDb,Lars Molin,4.9,Psychological Drama,Peter Haber,1994,167,1h 45m
Sons and Daughters (Short 1994) - IMDb,Robin Schlaht,N/A,Documentary,N/A,1994,N/A,28m
Sonyachi Mumbai (1994) - IMDb,Laxmikant Berde,8.9,N/A,Laxmikant Berde,1994,11,N/A
Soodchakra (1994) - IMDb,Avinash Thakur,N/A,N/A,Ajinkya Deo,1994,N/A,N/A
Sorceress (1995) - IMDb,Jim Wynorski,4.1,Fantasy,Linda Blair,1995,1.3K,1h 33m
Rock and Roll Fantasy (1992) - IMDb,David Michael Latt,3.4,Comedy,Attila,1992,213,1h 31m
"The Sorrow, Like a Withdrawn Dagger, Left My Heart (1992) - IMDb",Ki-Seon Hong,5.6,Drama,Cho Jae-hyun,1992,8,1h 38m
The Smile (1994) - IMDb,Claude Miller,5.6,Comedy,Jean-Pierre Marielle,1994,720,1h 25m
South Beach Academy (1995) - IMDb,Joe Esposito,3.6,Comedy,Keith Coulouris,1995,690,1h 31m
Souvenir (1994) - IMDb,Rosa Vergés,6.0,Comedy,Futoshi Kasagawa,1994,52,1h 30m
Soweto Green (1995) - IMDb,David Lister,5.8,Comedy,Mfundi Vundla,1995,25,1h 40m
Spaceship Earth (Short 1982) - IMDb,Ray Bradbury,8.6,Short,Walter Cronkite,1982,151,20m
Spanking the Monkey (1994) - IMDb,David O. Russell,6.3,Dark Comedy,Jeremy Davies,1994,6.8K,1h 40m
Sparprogramm (1994) - IMDb,Christa Biedermann,N/A,N/A,N/A,1994,N/A,1h 1m
Save and Protect (1989) - IMDb,Aleksandr Sokurov,6.4,Drama,Cécile Zervudacki,1989,325,2h 47m
The Specialist (1994) - IMDb,Luis Llosa,5.6,Action,Sylvester Stallone,1994,71K,1h 50m
Speechless (1994) - IMDb,Ron Underwood,5.8,Comedy,Michael Keaton,1994,5.5K,1h 39m
Speed (1994) - IMDb,Jan de Bont,7.3,Car Action,Keanu Reeves,1994,401K,1h 56m
Spenser: Pale Kings and Princes (TV Movie 1994) - IMDb,Vic Sarin,6.2,Crime,Robert B. Parker,1994,197,Unrated
Spenser: The Judas Goat (TV Movie 1994) - IMDb,Joseph L. Scanlan,6.3,Crime,Robert B. Parker,1994,219,1h 31m
Spider & Rose (1994) - IMDb,Bill Bennett,6.8,Comedy,Ruth Cracknell,1994,313,1h 34m
The Spider and the Fly (TV Movie 1994) - IMDb,Michael Katleman,5.3,Mystery,Mel Harris,1994,113,PG-13
Spike of Love (1994) - IMDb,Steve DiMarco,5.6,Dark Comedy,Steve DiMarco,1994,80,1h 23m
